Location,Total Land Area (acres),Number of Cows,Farm Size,Date,Product ID,Product Name,Brand,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Storage Condition,Production Date,Expiration Date,Quantity Sold (liters/kg),Price per Unit (sold),Approx. Total Revenue(INR),Customer Location,Sales Channel,Quantity in Stock (liters/kg),Minimum Stock Threshold (liters/kg),Reorder Quantity (liters/kg),Date_Sell,Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Expire,Sales_Velocity,Quantity_Sold_Hist_Mean,Sales_Velocity_Hist_Mean,Sales_Volatility_Hist,Quantity_Sold_Before_Expire,Quantity_Lost,Capacity_Utilization,Sales_Trend_7d,Seasonal_Volatility,Stock_Efficiency,Value_Lost,Revenue_Before_Losses,Real_Revenue
Uttar Pradesh,605.79,38,Small,2019-04-02,2,Butter,Amul,705.44,20.2275,54819.7424,40,Refrigerated,2019-02-17,2019-03-29,279,80.91,22573.89,Tamil Nadu,Retail,426,10.55,66.62,2019-03-29,2019,3,29,4,1,40,0,1,6.975,217.0,8.947368421052632,54.71471100437881,0.0,426.0,0.7795588235294117,303.85714285714283,39.693180755752905,6.975,8616.914999999999,16930.4175,8313.5025
Karnataka,265.08,84,Small,2019-04-06,2,Butter,Parag Milk Foods,332.23,6.7875,10226.0394,40,Frozen,2019-03-26,2019-05-05,328,27.15,8905.2,Telangana,Wholesale,4,72.73,175.3,2019-04-06,2019,4,6,5,2,11,29,0,29.818181818181817,217.0,8.947368421052632,54.71471100437881,4.0,0.0,3.332620320855615,300.7142857142857,139.69796862977364,1.0282131661442007,0.0,6678.899999999999,6678.899999999999
Bihar,417.91,26,Medium,2019-05-01,2,Butter,Amul,281.3,4.0575,3220.885,31,Refrigerated,2019-03-06,2019-04-06,135,16.23,2191.05,Bihar,Online,146,65.01,22.34,2019-04-06,2019,4,6,5,2,31,0,1,4.354838709677419,217.0,8.947368421052632,54.71471100437881,0.0,146.0,0.4867172675521822,304.0,139.69796862977364,4.354838709677419,592.395,1643.2875,1050.8925
Delhi,660.05,43,Large,2019-04-09,2,Butter,Mother Dairy,958.71,19.785,80109.8076,39,Refrigerated,2019-03-27,2019-05-05,575,79.14,45505.5,Bihar,Retail,383,29.2,106.53,2019-04-09,2019,4,9,1,2,13,26,0,44.23076923076923,217.0,8.947368421052632,54.71471100437881,232.63157894736844,150.36842105263156,4.943438914027149,316.14285714285717,139.69796862977364,1.7011834319526629,2975.0392105263154,34129.125,31154.085789473684
Madhya Pradesh,919.63,13,Medium,2019-04-23,2,Butter,Parag Milk Foods,497.43,19.1125,40301.7786,40,Refrigerated,2019-03-01,2019-04-10,175,76.45,13378.75,Uttar Pradesh,Retail,322,60.78,29.55,2019-04-10,2019,4,10,2,2,40,0,1,4.375,217.0,8.947368421052632,54.71471100437881,0.0,322.0,0.4889705882352941,286.85714285714283,139.69796862977364,4.375,6154.225,10034.062500000002,3879.8375000000015
Chandigarh,664.99,66,Large,2019-05-06,2,Butter,Parag Milk Foods,764.41,17.1025,52553.1875,27,Refrigerated,2019-03-15,2019-04-11,398,68.41,27227.18,Rajasthan,Online,366,29.93,120.0,2019-04-11,2019,4,11,3,2,27,0,1,14.74074074074074,217.0,8.947368421052632,54.71471100437881,0.0,366.0,1.6474945533769063,308.2857142857143,139.69796862977364,14.74074074074074,6259.514999999999,20420.385,14160.869999999999
Maharashtra,291.8,84,Medium,2019-04-25,2,Butter,Parag Milk Foods,223.99,3.7275,3984.7821,39,Frozen,2019-03-06,2019-04-14,213,14.91,3175.83,Bihar,Online,10,40.49,149.75,2019-04-14,2019,4,14,6,2,39,0,1,5.461538461538462,217.0,8.947368421052632,54.71471100437881,0.0,10.0,0.6104072398190045,300.42857142857144,139.69796862977364,5.461538461538462,37.275,2381.8725000000004,2344.5975000000003
Delhi,986.3,63,Large,2019-04-18,2,Butter,Parag Milk Foods,941.2,9.7825,39906.88,40,Frozen,2019-03-18,2019-04-27,377,39.13,14752.01,Karnataka,Wholesale,564,26.86,155.47,2019-04-18,2019,4,18,3,2,31,9,0,12.161290322580646,217.0,8.947368421052632,54.71471100437881,80.52631578947368,483.4736842105263,1.359203036053131,314.42857142857144,139.69796862977364,1.3512544802867383,4729.581315789474,11064.007500000002,6334.426184210528
Delhi,835.74,97,Large,2019-04-22,2,Butter,Warana,952.72,21.0325,77970.6048,39,Frozen,2019-04-21,2019-05-30,786,84.13,66126.18,Jharkhand,Wholesale,166,48.97,182.15,2019-04-22,2019,4,22,0,2,1,38,0,786.0,217.0,8.947368421052632,54.71471100437881,166.0,0.0,87.84705882352941,379.85714285714283,139.69796862977364,20.68421052631579,0.0,49594.634999999995,49594.634999999995
Chandigarh,98.03,49,Large,2019-04-23,2,Butter,Mother Dairy,173.07,8.3825,5391.130499999999,39,Refrigerated,2019-04-03,2019-05-12,58,33.53,1944.74,Gujarat,Retail,115,97.31,144.26,2019-04-23,2019,4,23,1,2,20,19,0,2.9,217.0,8.947368421052632,54.71471100437881,115.0,0.0,0.3241176470588235,368.85714285714283,139.69796862977364,0.15263157894736842,0.0,1458.555,1458.555
Chandigarh,837.07,12,Large,2019-05-26,2,Butter,Warana,89.02,19.8725,6835.8458,37,Frozen,2019-04-01,2019-05-08,19,79.49,1510.31,Tamil Nadu,Wholesale,70,98.97,54.9,2019-05-08,2019,5,8,2,2,37,0,1,0.5135135135135135,217.0,8.947368421052632,54.71471100437881,0.0,70.0,0.057392686804451504,289.42857142857144,41.44417673170085,0.5135135135135135,1391.0749999999998,1132.7324999999998,-258.3425
Delhi,497.02,29,Medium,2019-05-13,2,Butter,Mother Dairy,322.24,17.585,22843.5936,37,Frozen,2019-04-02,2019-05-09,297,70.34,20890.98,Chandigarh,Online,25,31.68,166.36,2019-05-09,2019,5,9,3,2,37,0,1,8.027027027027026,217.0,8.947368421052632,54.71471100437881,0.0,25.0,0.8971383147853735,306.85714285714283,41.44417673170085,8.027027027027026,439.625,15668.235,15228.61
Bihar,435.79,34,Large,2019-05-12,2,Butter,Amul,674.52,3.955,13200.3564,36,Frozen,2019-04-12,2019-05-18,360,15.82,5695.2,Bihar,Wholesale,314,80.73,198.66,2019-05-12,2019,5,12,6,2,30,6,0,12.0,217.0,8.947368421052632,54.71471100437881,53.684210526315795,260.3157894736842,1.3411764705882352,301.42857142857144,41.44417673170085,2.0,1029.548947368421,4271.4,3241.8510526315786
Uttar Pradesh,739.52,94,Medium,2019-05-14,2,Butter,Amul,987.09,11.3275,43974.8595,25,Refrigerated,2019-05-12,2019-06-06,153,45.31,6932.43,Kerala,Retail,834,15.77,35.93,2019-05-14,2019,5,14,1,2,2,23,0,76.5,217.0,8.947368421052632,54.71471100437881,205.78947368421052,628.2105263157895,8.549999999999999,292.85714285714283,41.44417673170085,3.3260869565217392,7116.054736842106,5199.3225,-1916.7322368421055
Kerala,768.23,33,Medium,2019-05-18,2,Butter,Mother Dairy,310.5,23.2475,29370.195,28,Refrigerated,2019-05-16,2019-06-13,233,92.99,21666.67,Chandigarh,Online,77,30.17,50.43,2019-05-18,2019,5,18,5,2,2,26,0,116.5,217.0,8.947368421052632,54.71471100437881,77.0,0.0,13.020588235294117,272.2857142857143,41.44417673170085,4.480769230769231,0.0,16250.002499999999,16250.002499999999
Rajasthan,883.63,80,Large,2019-05-24,2,Butter,Mother Dairy,817.4,23.715,76075.41799999999,26,Frozen,2019-05-12,2019-06-07,350,94.86,33201.0,Karnataka,Online,467,89.0,151.45,2019-05-24,2019,5,24,4,2,12,14,0,29.166666666666668,217.0,8.947368421052632,54.71471100437881,125.26315789473685,341.7368421052631,3.259803921568627,210.0,41.44417673170085,2.0833333333333335,8104.2892105263145,24900.75,16796.460789473684
Gujarat,538.58,76,Large,2019-06-02,2,Butter,Mother Dairy,509.7,12.2475,25928.439,30,Refrigerated,2019-05-22,2019-06-21,74,48.99,3625.26,Jharkhand,Wholesale,435,41.44,92.42,2019-06-02,2019,6,2,6,2,11,19,0,6.7272727272727275,217.0,8.947368421052632,54.71471100437881,170.0,265.0,0.7518716577540107,212.28571428571428,16.70396021691645,0.35406698564593303,3245.5875,2718.945,-526.6424999999999
Delhi,121.46,17,Large,2019-06-26,2,Butter,Mother Dairy,718.82,11.7875,37026.4182,37,Refrigerated,2019-04-27,2019-06-03,316,47.15,14899.4,Delhi,Online,402,35.53,164.02,2019-06-03,2019,6,3,0,2,37,0,1,8.54054054054054,217.0,8.947368421052632,54.71471100437881,0.0,402.0,0.9545310015898251,254.71428571428572,16.70396021691645,8.54054054054054,4738.575,11174.55,6435.974999999999
Chandigarh,235.07,48,Small,2019-06-10,2,Butter,Mother Dairy,62.63,10.97,2524.6153000000004,27,Refrigerated,2019-05-25,2019-06-21,5,43.88,219.4,Kerala,Wholesale,57,21.06,54.67,2019-06-10,2019,6,10,0,2,16,11,0,0.3125,217.0,8.947368421052632,54.71471100437881,57.0,0.0,0.034926470588235295,213.0,16.70396021691645,0.028409090909090908,0.0,164.55,164.55
Jharkhand,804.26,50,Small,2019-06-17,2,Butter,Mother Dairy,502.18,12.8325,24898.0844,38,Frozen,2019-06-15,2019-07-23,36,51.33,1847.88,Chandigarh,Online,466,45.49,148.01,2019-06-17,2019,6,17,0,2,2,36,0,18.0,217.0,8.947368421052632,54.71471100437881,322.10526315789474,143.89473684210526,2.011764705882353,166.71428571428572,16.70396021691645,0.5,1846.5292105263156,1385.91,-460.61921052631556
Kerala,861.07,56,Large,2019-06-18,2,Butter,Warana,298.17,13.75,17729.1882,26,Frozen,2019-06-12,2019-07-08,112,55.0,6160.0,Telangana,Wholesale,186,74.4,57.54,2019-06-18,2019,6,18,1,2,6,20,0,18.666666666666668,217.0,8.947368421052632,54.71471100437881,178.94736842105263,7.05263157894737,2.0862745098039213,160.85714285714286,16.70396021691645,0.9333333333333333,96.97368421052633,4620.0,4523.026315789473
Telangana,631.9,16,Large,2019-06-18,2,Butter,Parag Milk Foods,452.38,21.4175,39931.5826,37,Frozen,2019-05-20,2019-06-26,350,85.67,29984.5,Bihar,Wholesale,102,12.48,66.86,2019-06-18,2019,6,18,1,2,29,8,0,12.068965517241379,217.0,8.947368421052632,54.71471100437881,71.57894736842105,30.421052631578945,1.3488843813387426,177.57142857142858,16.70396021691645,1.5086206896551724,651.5428947368421,22488.375,21836.832105263158
Delhi,994.13,16,Medium,2019-06-21,2,Butter,Mother Dairy,547.47,11.92,28676.4786,36,Refrigerated,2019-06-12,2019-07-18,338,47.68,16115.84,Bihar,Wholesale,209,72.79,141.72,2019-06-21,2019,6,21,4,2,9,27,0,37.55555555555556,217.0,8.947368421052632,54.71471100437881,209.0,0.0,4.197385620915033,175.85714285714286,16.70396021691645,1.3909465020576133,0.0,12086.88,12086.88
Bihar,614.12,46,Small,2019-06-23,2,Butter,Mother Dairy,726.76,8.09,26657.5568,37,Refrigerated,2019-06-08,2019-07-15,304,32.36,9837.44,Maharashtra,Retail,422,59.57,156.3,2019-06-23,2019,6,23,6,2,15,22,0,20.266666666666666,217.0,8.947368421052632,54.71471100437881,196.8421052631579,225.1578947368421,2.2650980392156863,208.71428571428572,16.70396021691645,0.9212121212121211,1821.5273684210526,7378.08,5556.5526315789475
Tamil Nadu,86.92,62,Medium,2019-06-23,2,Butter,Warana,804.77,4.135,9335.332,38,Refrigerated,2019-05-26,2019-07-03,130,16.54,2150.2,Kerala,Online,674,30.62,77.18,2019-06-23,2019,6,23,6,2,28,10,0,4.642857142857143,217.0,8.947368421052632,54.71471100437881,89.47368421052632,584.5263157894736,0.51890756302521,182.14285714285714,16.70396021691645,0.4642857142857143,2417.0163157894735,1612.6499999999999,-804.3663157894737
Chandigarh,115.97,43,Small,2019-06-24,2,Butter,Mother Dairy,703.18,11.9825,35137.904599999994,40,Refrigerated,2019-05-21,2019-06-30,690,47.93,33071.7,Uttar Pradesh,Retail,13,27.4,100.23,2019-06-24,2019,6,24,0,2,34,6,0,20.294117647058822,217.0,8.947368421052632,54.71471100437881,13.0,0.0,2.2681660899653977,280.0,16.70396021691645,3.3823529411764706,0.0,24803.774999999998,24803.774999999998
Rajasthan,763.08,39,Small,2019-07-05,2,Butter,Mother Dairy,168.98,2.3025,2227.1564,28,Frozen,2019-05-31,2019-06-28,65,9.21,598.65,Telangana,Retail,103,58.78,65.12,2019-06-28,2019,6,28,4,2,28,0,1,2.3214285714285716,217.0,8.947368421052632,54.71471100437881,0.0,103.0,0.259453781512605,284.14285714285717,16.70396021691645,2.3214285714285716,237.15750000000003,448.98750000000007,211.83000000000004
Jharkhand,681.04,48,Medium,2019-07-04,2,Butter,Parag Milk Foods,145.12,7.7525,4598.852800000001,32,Refrigerated,2019-05-29,2019-06-30,71,31.01,2201.71,Uttar Pradesh,Wholesale,74,39.56,61.1,2019-06-30,2019,6,30,6,2,32,0,1,2.21875,217.0,8.947368421052632,54.71471100437881,0.0,74.0,0.24797794117647057,278.2857142857143,16.70396021691645,2.21875,573.6850000000001,1651.2825,1077.5974999999999
West Bengal,222.99,91,Small,2019-07-03,2,Butter,Mother Dairy,415.89,21.525,37138.977,26,Refrigerated,2019-07-01,2019-07-27,246,86.1,21180.6,Maharashtra,Online,169,91.1,104.54,2019-07-03,2019,7,3,2,3,2,24,0,123.0,217.0,8.947368421052632,54.71471100437881,169.0,0.0,13.74705882352941,263.42857142857144,21.99658905696661,5.125,0.0,15885.449999999997,15885.449999999997
West Bengal,235.11,29,Large,2019-07-13,2,Butter,Parag Milk Foods,85.49,20.765,7263.230399999999,35,Frozen,2019-05-30,2019-07-04,67,83.06,5565.02,Karnataka,Retail,18,74.62,46.68,2019-07-04,2019,7,4,3,3,35,0,1,1.9142857142857144,217.0,8.947368421052632,54.71471100437881,0.0,18.0,0.21394957983193275,224.71428571428572,21.99658905696661,1.9142857142857144,373.77,4173.765,3799.9950000000003
Jharkhand,10.91,40,Medium,2019-07-07,2,Butter,Warana,911.09,22.665,78053.0803,40,Refrigerated,2019-06-12,2019-07-22,696,90.66,63099.36,Tamil Nadu,Retail,215,94.4,145.39,2019-07-07,2019,7,7,6,3,25,15,0,27.84,217.0,8.947368421052632,54.71471100437881,134.21052631578948,80.78947368421052,3.1115294117647054,280.7142857142857,21.99658905696661,1.856,1831.0934210526314,47324.520000000004,45493.42657894737
Tamil Nadu,844.43,57,Small,2019-07-22,2,Butter,Warana,461.02,20.1875,37785.1992,29,Frozen,2019-06-21,2019-07-20,179,80.75,14454.25,Tamil Nadu,Retail,282,28.62,58.76,2019-07-20,2019,7,20,5,3,29,0,1,6.172413793103448,217.0,8.947368421052632,54.71471100437881,0.0,282.0,0.6898580121703854,287.7142857142857,21.99658905696661,6.172413793103448,5692.875,10840.6875,5147.8125
Tamil Nadu,993.01,43,Medium,2019-07-24,2,Butter,Parag Milk Foods,411.02,5.1625,6938.017599999999,35,Refrigerated,2019-07-09,2019-08-13,188,20.65,3882.2,Delhi,Retail,223,41.39,185.85,2019-07-24,2019,7,24,2,3,15,20,0,12.533333333333333,217.0,8.947368421052632,54.71471100437881,178.94736842105263,44.05263157894737,1.40078431372549,216.0,21.99658905696661,0.6266666666666667,227.4217105263158,2911.6499999999996,2684.2282894736836
Chandigarh,12.0,70,Medium,2019-07-26,2,Butter,Mother Dairy,728.14,4.7325,14002.1322,27,Frozen,2019-07-07,2019-08-03,374,18.93,7079.82,Rajasthan,Online,354,15.19,43.08,2019-07-26,2019,7,26,4,3,19,8,0,19.68421052631579,217.0,8.947368421052632,54.71471100437881,71.57894736842105,282.42105263157896,2.2,260.14285714285717,21.99658905696661,2.460526315789474,1336.5576315789474,5309.865,3973.307368421052
Jharkhand,549.77,18,Medium,2019-08-04,2,Butter,Mother Dairy,674.29,22.5625,62257.1957,32,Frozen,2019-06-25,2019-07-27,521,90.25,47020.25,West Bengal,Wholesale,153,61.44,134.25,2019-07-27,2019,7,27,5,3,32,0,1,16.28125,217.0,8.947368421052632,54.71471100437881,0.0,153.0,1.8196691176470587,324.42857142857144,21.99658905696661,16.28125,3452.0625,35265.1875,31813.125
Kerala,309.3,76,Medium,2019-08-02,2,Butter,Mother Dairy,500.66,23.69,45259.664,40,Frozen,2019-07-05,2019-08-14,344,94.76,32597.44,Bihar,Wholesale,156,41.06,43.58,2019-08-02,2019,8,2,4,3,28,12,0,12.285714285714286,217.0,8.947368421052632,54.71471100437881,107.36842105263159,48.63157894736841,1.373109243697479,338.42857142857144,73.83495093260214,1.023809523809524,1152.0821052631577,24448.08,23295.997894736844
Tamil Nadu,12.89,83,Large,2019-08-02,2,Butter,Mother Dairy,922.51,4.7,16983.4091,27,Frozen,2019-07-13,2019-08-09,531,18.8,9982.8,Kerala,Retail,391,35.14,170.44,2019-08-02,2019,8,2,4,3,20,7,0,26.55,217.0,8.947368421052632,54.71471100437881,62.631578947368425,328.36842105263156,2.9673529411764705,404.7142857142857,73.83495093260214,3.792857142857143,1543.3315789473684,7487.1,5943.768421052632
Karnataka,834.02,40,Small,2019-08-04,2,Butter,Mother Dairy,449.63,12.595,24513.8276,34,Frozen,2019-07-07,2019-08-10,40,50.38,2015.2,Chandigarh,Wholesale,409,26.0,59.25,2019-08-04,2019,8,4,6,3,28,6,0,1.4285714285714286,217.0,8.947368421052632,54.71471100437881,53.684210526315795,355.3157894736842,0.15966386554621848,311.0,73.83495093260214,0.2380952380952381,4475.202368421053,1511.4,-2963.8023684210525
