Product Name,Quantity (liters/kg),Price per Unit,Total Value,Shelf Life (days),Price per Unit (sold),Year,Month,Day,DayOfWeek,Quarter,Days_to_Sell,Days_to_Expire,Sales_Velocity,Quantity_Sold_Hist_Mean,Sales_Velocity_Hist_Mean,Sales_Volatility_Hist,Capacity_Utilization,Sales_Trend_7d,Seasonal_Volatility,Stock_Efficiency
Curd,60.99,20.425,5120.7204,6,81.7,2020,3,4,2,1,6,0,3.3333333333333335,196.0,34.57142857142857,69.91022195694126,0.09641873278236915,181.57142857142858,85.70308998374571,3.3333333333333335
Yogurt,479.44,23.2825,45417.351200000005,22,93.13,2020,12,10,3,4,22,0,9.954545454545455,178.0,9.954545454545455,44.4674005868485,1.0,177.57142857142858,32.42941191130222,9.954545454545455
Ice Cream,137.74,20.07,10720.3042,28,80.28,2019,2,27,2,1,28,0,2.6785714285714284,177.0,9.125,72.25225364557888,0.29354207436399216,159.85714285714286,39.885494812129714,2.6785714285714284
Curd,623.85,13.62,36432.84,6,54.48,2022,2,3,3,1,6,0,32.166666666666664,196.0,34.57142857142857,69.91022195694126,0.9304407713498624,338.85714285714283,34.44428802335061,32.166666666666664
Ice Cream,79.1,5.5775,1644.4889999999998,21,22.31,2019,7,28,6,3,21,0,0.5238095238095238,177.0,9.125,72.25225364557888,0.05740378343118069,228.71428571428572,61.64490496018566,0.5238095238095238
Butter,361.95,2.92,4147.947,27,11.68,2019,12,9,0,4,27,0,12.555555555555555,217.0,8.947368421052632,54.71471100437881,1.403267973856209,233.0,28.678109787895327,12.555555555555555
Cheese,829.53,11.0925,33853.1193,86,44.37,2019,6,17,0,2,27,59,28.85185185185185,194.0,7.842105263157895,56.94558885722439,3.6790952025851356,484.57142857142856,17.902378599111444,0.48901443816698054
Curd,66.32,18.3975,4787.640799999999,5,73.59,2020,9,29,1,3,5,0,13.0,196.0,34.57142857142857,69.91022195694126,0.37603305785123975,192.0,37.456094832772834,13.0
Ice Cream,460.37,10.1075,18718.6442,27,40.43,2019,10,15,1,4,27,0,0.6296296296296297,177.0,9.125,72.25225364557888,0.06900050735667174,132.57142857142858,18.891856211250676,0.6296296296296297
Cheese,600.02,22.55,55357.8452,34,90.2,2022,10,14,4,4,26,8,2.0,194.0,7.842105263157895,56.94558885722439,0.2550335570469799,303.57142857142856,61.43451097654682,0.25
Butter,922.51,4.7,16983.4091,27,18.8,2019,8,2,4,3,20,7,26.55,217.0,8.947368421052632,54.71471100437881,2.9673529411764705,404.7142857142857,73.83495093260214,3.792857142857143
Butter,881.3,21.7025,73368.22499999999,36,86.81,2019,9,15,6,3,10,26,12.5,217.0,8.947368421052632,54.71471100437881,1.3970588235294117,147.57142857142858,47.584352287615175,0.4807692307692308
Paneer,405.07,9.335,14238.2105,10,37.34,2018,12,29,5,4,10,0,30.9,182.0,18.88888888888889,39.60277158687125,1.6358823529411766,327.42857142857144,41.899535739905225,30.9
Butter,686.59,23.63,62163.85860000001,34,94.52,2022,6,14,1,2,8,26,20.75,217.0,8.947368421052632,54.71471100437881,2.3191176470588233,165.85714285714286,16.70396021691645,0.7980769230769231
Lassi,915.38,12.51,43562.9342,13,50.04,2021,2,21,6,1,13,0,22.846153846153847,192.0,15.75,49.63685879040302,1.4505494505494505,268.85714285714283,31.309615994956676,22.846153846153847
Buttermilk,328.52,24.065,30568.786,11,96.26,2022,2,13,6,1,3,8,45.333333333333336,152.0,18.0,48.52413783860662,2.5185185185185186,264.57142857142856,26.256946246408635,5.666666666666667
Ghee,62.91,16.5225,4104.8775,64,66.09,2022,5,14,5,2,3,61,20.0,188.0,6.563383492932056,43.34753878230251,3.0472088095320804,436.57142857142856,44.276704131336324,0.32786885245901637
Cheese,581.68,7.665,16542.979199999998,63,30.66,2022,8,6,5,3,22,41,10.818181818181818,194.0,7.842105263157895,56.94558885722439,1.3794996949359366,313.42857142857144,21.326427220515964,0.2638580931263858
Lassi,554.62,6.445,14314.7422,15,25.78,2022,6,21,1,2,9,6,25.0,192.0,15.75,49.63685879040302,1.5873015873015872,321.85714285714283,23.51479496534756,4.166666666666667
Ice Cream,334.02,9.49,13785.0054,21,37.96,2021,3,10,2,1,21,0,5.809523809523809,177.0,9.125,72.25225364557888,0.6366601435094585,199.14285714285714,27.98014051352803,5.809523809523809
Milk,396.31,16.66,24793.1536,30,66.64,2018,12,26,2,4,30,0,11.033333333333333,202.0,29.043478260869566,164.33150316519354,0.3798902195608782,170.33333333333334,160.85683220493374,11.033333333333333
Ghee,84.83,8.875,3255.7754,126,35.5,2021,9,1,2,3,44,82,0.9090909090909091,188.0,6.563383492932056,43.34753878230251,0.1385094913423673,136.57142857142858,36.8390875610854,0.011086474501108647
Milk,382.95,13.15,18948.366,1,52.6,2021,9,17,4,3,1,0,367.0,202.0,29.043478260869566,164.33150316519354,12.636227544910179,315.0,148.8031919194186,367.0
Yogurt,816.86,11.1425,34005.8818,29,44.57,2021,4,17,5,2,29,0,22.620689655172413,178.0,9.954545454545455,44.4674005868485,2.2723980475515666,177.0,23.387685266416824,22.620689655172413
Ice Cream,818.48,21.7625,70708.4872,24,87.05,2022,6,19,6,2,24,0,24.5,177.0,9.125,72.25225364557888,2.684931506849315,271.42857142857144,26.052907676433684,24.5
Yogurt,868.13,22.4525,74667.8613,22,89.81,2021,3,5,4,1,22,0,20.818181818181817,178.0,9.954545454545455,44.4674005868485,2.0913242009132422,232.14285714285714,69.58566092479155,20.818181818181817
Milk,76.81,14.815,4405.8216,2,59.26,2021,6,13,6,2,2,0,24.5,202.0,29.043478260869566,164.33150316519354,0.843562874251497,259.42857142857144,209.1669373214938,24.5
Cheese,553.56,17.8825,37470.47639999999,59,71.53,2019,9,11,2,3,14,45,0.5714285714285714,194.0,7.842105263157895,56.94558885722439,0.0728667305848514,120.71428571428571,116.58518894484398,0.012698412698412698
Lassi,211.13,23.3175,20032.0144,12,93.27,2019,2,21,3,1,8,4,5.75,192.0,15.75,49.63685879040302,0.36507936507936506,465.0,31.309615994956676,1.4375
Lassi,750.85,20.625,64407.913,13,82.5,2020,5,20,2,2,13,0,56.38461538461539,192.0,15.75,49.63685879040302,3.57997557997558,189.57142857142858,15.13846513507707,56.38461538461539
Cheese,964.92,10.33,35779.2336,45,41.32,2019,6,8,5,2,13,32,67.07692307692308,194.0,7.842105263157895,56.94558885722439,8.553433144037172,295.14285714285717,17.902378599111444,2.0961538461538463
Butter,848.92,2.8675,10518.1188,25,11.47,2020,2,15,5,1,25,0,1.0,217.0,8.947368421052632,54.71471100437881,0.11176470588235293,236.0,9.341512894137912,1.0
Paneer,565.32,1.4025,5715.385200000001,13,5.61,2019,3,5,1,1,13,0,41.23076923076923,182.0,18.88888888888889,39.60277158687125,2.182805429864253,417.57142857142856,45.330069626579196,41.23076923076923
Yogurt,666.96,12.3475,34495.171200000004,29,49.39,2019,4,23,1,2,21,8,11.523809523809524,178.0,9.954545454545455,44.4674005868485,1.1576429658621439,84.14285714285714,23.387685266416824,1.4404761904761905
Buttermilk,123.3,20.6975,10490.364,7,82.79,2022,6,9,3,2,7,0,3.5714285714285716,152.0,18.0,48.52413783860662,0.1984126984126984,163.85714285714286,69.05672210132221,3.5714285714285716
Cheese,433.34,17.12,30411.8012,88,68.48,2020,10,13,1,4,40,48,8.85,194.0,7.842105263157895,56.94558885722439,1.128523489932886,189.71428571428572,61.43451097654682,0.18437499999999998
Curd,505.01,4.7875,9913.3463,7,19.15,2021,10,14,3,4,7,0,57.142857142857146,196.0,34.57142857142857,69.91022195694126,1.6528925619834711,249.85714285714286,42.235685832910754,57.142857142857146
Lassi,783.34,3.355,13786.784,15,13.42,2019,2,4,0,1,4,11,131.0,192.0,15.75,49.63685879040302,8.317460317460318,234.14285714285714,31.309615994956676,11.909090909090908
Lassi,901.52,9.385,30092.7376,13,37.54,2019,5,14,1,2,13,0,41.23076923076923,192.0,15.75,49.63685879040302,2.617826617826618,166.85714285714286,15.13846513507707,41.23076923076923
Butter,987.98,16.4075,68170.62,36,65.63,2022,12,28,2,4,12,24,20.5,217.0,8.947368421052632,54.71471100437881,2.291176470588235,200.71428571428572,28.678109787895327,0.8541666666666666
Yogurt,845.97,13.25,40834.9719,30,53.0,2022,4,3,6,2,30,0,5.333333333333333,178.0,9.954545454545455,44.4674005868485,0.5357686453576864,209.0,23.387685266416824,5.333333333333333
Buttermilk,924.2,12.91,47771.898,7,51.64,2020,12,11,4,4,2,5,459.5,152.0,18.0,48.52413783860662,25.52777777777778,392.14285714285717,116.58366916634911,91.9
Cheese,824.57,13.72,42465.355,57,54.88,2021,9,4,5,3,34,23,14.558823529411764,194.0,7.842105263157895,56.94558885722439,1.856494275562574,524.7142857142857,116.58518894484398,0.6329923273657289
Lassi,741.04,18.5375,55392.74,15,74.15,2019,4,10,2,2,15,0,24.4,192.0,15.75,49.63685879040302,1.5492063492063493,237.14285714285714,31.953760258846977,24.4
Curd,363.7,19.35,27910.338,6,77.4,2020,10,21,2,4,6,0,53.666666666666664,196.0,34.57142857142857,69.91022195694126,1.5523415977961434,200.71428571428572,42.235685832910754,53.666666666666664
Cheese,783.44,18.445,56932.5848,74,73.78,2021,9,2,3,3,47,27,13.76595744680851,194.0,7.842105263157895,56.94558885722439,1.7553905469084679,381.57142857142856,116.58518894484398,0.5098502758077226
Buttermilk,117.03,8.185,3908.802,8,32.74,2019,1,16,2,1,8,0,10.75,152.0,18.0,48.52413783860662,0.5972222222222222,322.42857142857144,22.264104527925333,10.75
Ice Cream,367.48,4.6625,7720.754800000001,27,18.65,2021,12,15,2,4,27,0,7.666666666666667,177.0,9.125,72.25225364557888,0.8401826484018264,272.7142857142857,113.16620060215111,7.666666666666667
Curd,684.08,21.45,60691.5776,7,85.8,2021,1,15,4,1,7,0,97.57142857142857,196.0,34.57142857142857,69.91022195694126,2.822314049586777,304.85714285714283,44.43556072012025,97.57142857142857
Lassi,239.87,3.755,4511.9547,12,15.02,2021,1,18,0,1,12,0,2.4166666666666665,192.0,15.75,49.63685879040302,0.15343915343915343,115.71428571428571,78.6859636309452,2.4166666666666665
Cheese,225.51,20.93,17835.585900000002,87,83.72,2022,11,27,6,4,34,53,5.764705882352941,194.0,7.842105263157895,56.94558885722439,0.7350967232530595,208.71428571428572,56.581114457762666,0.10876803551609322
Buttermilk,448.57,23.2625,40954.441,11,93.05,2018,12,7,4,4,11,0,31.09090909090909,152.0,18.0,48.52413783860662,1.7272727272727273,155.0,116.58366916634911,31.09090909090909
Curd,931.22,11.295,44642.6868,6,45.18,2019,6,6,3,2,6,0,136.66666666666666,196.0,34.57142857142857,69.91022195694126,3.953168044077135,242.71428571428572,98.47287847669386,136.66666666666666
Ghee,246.47,4.73,3995.2787,62,18.92,2019,11,15,4,4,9,53,3.6666666666666665,188.0,6.563383492932056,43.34753878230251,0.5586549484142148,107.85714285714286,22.91103110926069,0.06918238993710692
Butter,749.78,5.985,17447.3806,26,23.94,2022,8,23,1,3,10,16,22.1,217.0,8.947368421052632,54.71471100437881,2.47,269.14285714285717,73.83495093260214,1.38125
Butter,952.72,21.0325,77970.6048,39,84.13,2019,4,22,0,2,1,38,786.0,217.0,8.947368421052632,54.71471100437881,87.84705882352941,379.85714285714283,139.69796862977364,20.68421052631579
Cheese,524.99,24.3475,49952.7985,88,97.39,2020,5,1,4,2,18,70,21.333333333333332,194.0,7.842105263157895,56.94558885722439,2.7203579418344517,275.85714285714283,22.360169609118195,0.30476190476190473
Lassi,181.93,4.73,2643.4429,14,18.92,2021,5,16,6,2,14,0,10.785714285714286,192.0,15.75,49.63685879040302,0.6848072562358276,118.85714285714286,15.13846513507707,10.785714285714286
Butter,720.82,19.815,54248.91320000001,26,79.26,2020,10,19,0,4,16,10,11.3125,217.0,8.947368421052632,54.71471100437881,1.2643382352941177,269.7142857142857,20.461536028258692,1.13125
Curd,242.26,6.43,6504.6810000000005,7,25.72,2021,7,5,0,3,4,3,39.5,196.0,34.57142857142857,69.91022195694126,1.1425619834710745,321.2857142857143,39.21535920875862,13.166666666666666
Yogurt,564.68,22.7775,50414.6304,26,91.11,2019,6,11,1,2,24,2,17.833333333333332,178.0,9.954545454545455,44.4674005868485,1.7914764079147638,476.7142857142857,57.62585415815926,8.916666666666666
Ice Cream,829.99,5.3025,16076.9063,27,21.21,2022,2,1,1,1,27,0,1.7777777777777777,177.0,9.125,72.25225364557888,0.1948249619482496,279.57142857142856,39.885494812129714,1.7777777777777777
Lassi,554.99,8.175,17792.9794,13,32.7,2020,9,13,6,3,13,0,2.769230769230769,192.0,15.75,49.63685879040302,0.17582417582417584,292.57142857142856,17.847609133710655,2.769230769230769
Yogurt,34.72,16.9275,2212.7056,22,67.71,2022,2,2,2,1,22,0,0.4090909090909091,178.0,9.954545454545455,44.4674005868485,0.0410958904109589,184.0,39.17944504614831,0.4090909090909091
Butter,353.68,24.4475,33111.5216,35,97.79,2022,1,19,2,1,35,0,0.2857142857142857,217.0,8.947368421052632,54.71471100437881,0.031932773109243695,263.7142857142857,62.264586095764265,0.2857142857142857
Lassi,297.88,25.1325,28715.632,16,100.53,2022,2,1,1,1,10,6,24.8,192.0,15.75,49.63685879040302,1.5746031746031746,289.85714285714283,31.309615994956676,4.133333333333334
Buttermilk,682.38,10.375,31525.956,8,41.5,2022,4,25,0,2,8,0,39.125,152.0,18.0,48.52413783860662,2.173611111111111,210.57142857142858,25.655739225146082,39.125
Milk,801.1,12.67,40631.792,1,50.68,2021,4,12,0,2,1,0,48.0,202.0,29.043478260869566,164.33150316519354,1.652694610778443,227.28571428571428,208.87540979115556,48.0
Curd,460.57,22.535,40599.245500000005,7,90.14,2020,4,4,5,2,7,0,29.0,196.0,34.57142857142857,69.91022195694126,0.8388429752066116,319.57142857142856,85.27441325591596,29.0
Yogurt,899.27,4.18,12634.7435,29,16.72,2022,5,3,1,2,29,0,14.241379310344827,178.0,9.954545454545455,44.4674005868485,1.4306408439615808,195.71428571428572,76.6816846453667,14.241379310344827
Milk,564.27,10.6375,26345.7663,28,42.55,2020,1,6,0,1,28,0,12.821428571428571,202.0,29.043478260869566,164.33150316519354,0.441456372968349,301.7142857142857,177.43517510271528,12.821428571428571
Milk,373.21,9.045,14510.4048,1,36.18,2020,5,11,0,2,1,0,166.0,202.0,29.043478260869566,164.33150316519354,5.715568862275449,301.57142857142856,130.0079689939997,166.0
Buttermilk,129.45,16.5075,8472.5025,14,66.03,2019,4,24,2,2,14,0,3.4285714285714284,152.0,18.0,48.52413783860662,0.19047619047619047,265.2857142857143,25.655739225146082,3.4285714285714284
Butter,484.69,23.2325,45245.8115,37,92.93,2022,12,18,6,4,7,30,21.857142857142858,217.0,8.947368421052632,54.71471100437881,2.4428571428571426,217.14285714285714,28.678109787895327,0.7285714285714285
Cheese,680.47,13.045,38031.4683,77,52.18,2020,9,12,5,3,19,58,2.5789473684210527,194.0,7.842105263157895,56.94558885722439,0.3288590604026846,158.28571428571428,116.58518894484398,0.04446460980036298
Cheese,918.3,9.2425,30111.057,30,36.97,2021,1,16,5,1,30,0,11.233333333333333,194.0,7.842105263157895,56.94558885722439,1.4324384787472035,238.85714285714286,47.63962483433812,11.233333333333333
Lassi,644.91,18.5,50812.458900000005,14,74.0,2019,7,20,5,3,14,0,37.42857142857143,192.0,15.75,49.63685879040302,2.376417233560091,566.8571428571429,23.072499488621748,37.42857142857143
Buttermilk,794.42,3.1775,8317.5774,7,12.71,2019,1,21,0,1,7,0,6.285714285714286,152.0,18.0,48.52413783860662,0.3492063492063492,272.42857142857144,22.264104527925333,6.285714285714286
Cheese,526.6,23.1125,49474.07000000001,34,92.45,2020,11,1,6,4,34,0,3.5294117647058822,194.0,7.842105263157895,56.94558885722439,0.4500592183181997,297.57142857142856,56.581114457762666,3.5294117647058822
Buttermilk,842.56,18.85,65719.68,11,75.4,2020,12,21,0,4,11,0,19.181818181818183,152.0,18.0,48.52413783860662,1.0656565656565657,386.42857142857144,116.58366916634911,19.181818181818183
Milk,669.53,5.4125,16276.2743,2,21.65,2020,12,13,6,4,2,0,315.0,202.0,29.043478260869566,164.33150316519354,10.845808383233532,430.2857142857143,160.85683220493374,315.0
Ghee,377.14,25.0975,37385.8882,135,100.39,2019,4,27,5,2,16,119,10.75,188.0,6.563383492932056,43.34753878230251,1.6378747351234935,134.71428571428572,70.70925070088025,0.09033613445378151
